grievance_text,severity,severity_level
facing wifi down since long time bhai,High,High2
lag issue since morning kya ho raha hai,Low,Low1
"please check, delay in response pls fix",Low,Low1
packet loss happening since morning,Low,Low1
"please check, no connection, what is this? bhai",High,High1
data loss issue since long time yaar,Low,Low1
"please check, net gone bhai",High,Low1
having no connection continuously since long time,High,High2
STILL SPEED IS LOW!!!,Low,Low1
having buffering trouble continuously since long time bhai,Low,High1
cannot access sites from last night,Low,Low1
"please check, router not running not resolved yet yaar",Low,Low1
"DNS NOT RESOLVING, WHAT IS THIS?!!!",Low,Low1
no connection again kya ho raha hai,High,High1
router not running since long time bhai,Low,Low1
"please check, ping too high, what is this? yaar",Low,Low1
still net gone yaar,High,Low1
INTERNET GONE NOT RESOLVED YET!!! yaar,High,Low1
"please check, having no connection continuously",High,High1
"please check, router not functioning",Low,Low1
cannot access sites kya ho raha hai,Low,Low1
wifi down not resolved yet,High,High1
router not running pls fix since long time yaar,Low,Low1
"net not working, what is this? since long time yaar",High,High2
ROUTER NOT running AGAIN!!!,Low,High1
buffering issue from last night since long time bhai,Low,Low1
delay in response again since long time yaar,Low,High1
having ping too high continuously since long time yaar,Low,High1
INTERNET NOT WORKING SINCE MORNING!!! yaar,High,High3
HAVING UNSTABLE CONNECTION CONTINUOUSLY!!!,Low,High1
"please check, wifi down from last night yaar",High,High1
no connection since morning since long time kya ho raha hai,High,High2
having wifi down continuously,High,High1
HAVING INTERNET VERY SLOW CONTINUOUSLY!!! yaar,Low,High1
"please check, disconnecting again and again not resolved yet kya ho raha hai",Low,High1
wifi down from last night yaar,High,High1
keeps dropping,Low,Low1
having internet not working continuously kya ho raha hai,High,High1
WIFI DOWN AGAIN!!!,High,High1
speed is low again since long time kya ho raha hai,Low,High1
"wifi down, what is this? kya ho raha hai",High,High1
"please check, cannot access sites pls fix bhai",Low,Low1
connection not working since morning,High,High2
"please check, wifi down kya ho raha hai",High,High1
"WIFI DOWN, WHAT IS THIS?!!! bhai",High,High1
FACING INTERNET NOT WORKING!!!,High,High1
internet very slow again kya ho raha hai,Low,High1
"please check, still wifi down bhai",High,High1
"please check, internet not wrkng from last night",High,Low1
no connection again kya ho raha hai,High,High1
net gone from last night since long time kya ho raha hai,High,Low1
connection not working since morning since long time bhai,High,High2
"please check, still disconnecting again and again yaar",Low,High1
"please check, disconnecting again and again pls fix",Low,High1
FACING DATA LOSS ISSUE!!! kya ho raha hai,Low,Low1
keeps dropping since long time kya ho raha hai,Low,Low1
"please check, still router not functioning yaar",Low,Low1
packet loss happening not resolved yet yaar,Low,Low1
no connection again since long time kya ho raha hai,High,High2
still net not working since long time bhai,High,High2
"please check, router problem pls fix bhai",Low,Low1
NET SLOW!!!,Low,Low1
"please check, facing internet not working kya ho raha hai",High,High1
STILL ROUTER PROBLEM!!!,Low,Low1
FACING PACKET LOSS HAPPENING!!!,Low,Low1
wifi down not resolved yet,High,High1
net GONE FROM LAST NIGHT!!! yaar,High,Low1
having wifi down continuously since long time bhai,High,High2
internet not working from last night,High,High1
having router problem continuously since long time,Low,High1
"please check, speed is low, what is this? bhai",Low,Low1
"please check, speed is low kya ho raha hai",Low,Low1
INTERNET GONE!!! bhai,High,Low1
wifi down since morning since long time bhai,High,High2
"DELAY IN RESPONSE, WHAT IS THIS?!!! bhai",Low,Low1
packet loss happening since morning bhai,Low,Low1
"please check, data loss issue, what is this?",Low,Low1
"please check, wifi down since morning bhai",High,High2
STILL WIFI DOWN!!!,High,High1
having speed is low continuously yaar,Low,High1
"please check, no connection pls fix",High,High1
FACING BUFFERING ISSUE!!! kya ho raha hai,Low,Low1
PACKET LOSS HAPPENING AGAIN!!! yaar,Low,High1
"no connection, what is this? yaar",High,High1
net GONE!!! yaar,High,Low1
"wifi down, what is this? since long time kya ho raha hai",High,High2
DATA LOSS ISSUE AGAIN!!! yaar,Low,High1
"please check, disconnecting again and again from last night yaar",Low,High1
"please check, keeps dropping from last night yaar",Low,Low1
facing unstable connection kya ho raha hai,Low,Low1
wifi down pls fix since long time,High,High2
NET SLOW!!! bhai,Low,Low1
UNSTABLE CONNECTION NOT RESOLVED YET!!! bhai,Low,Low1
no connection since morning kya masla hai,High,High2
internet not working pls fix bhai,High,High1
WIFI DOWN SINCE MORNING!!! bhai,High,High3
having no connection continuously since long time kya masla hai,High,High2
speed is low from last night kya ho raha hai,Low,Low1
net slow again bhai,Low,High1
speed is low bhai,Low,Low1
NET too slow PLS FIX!!! bhai,Low,Low1
"please check, still connection not working yaar",High,High1
STILL UNSTABLE CONNECTION!!! kya ho raha hai,Low,Low1
speed is low bhai,Low,Low1
"please check, facing wifi down kya ho raha hai",High,High1
"please check, having wifi down continuously yaar",High,High1
"please check, net not wrkng pls fix yaar",High,Low1
"please check, connection not working, what is this? bhai",High,High1
"please check, delay in response kya masla hai",Low,Low1
"please check, router problem again kya ho raha hai",Low,High1
internet not working not resolved yet since long time bhai,High,High2
still net too slow,Low,Low1
no connection since long time yaar,High,High2
having wifi down continuously kya ho raha hai,High,High1
"please check, net lagging yaar",Low,Low1
"please check, buffering trouble yaar",Low,Low1
still data loss issue,Low,Low1
"please check, internet gone",High,Low1
ping too high pls fix bhai,Low,Low1
FACING wifi NOT WORKING!!!,High,High1
STILL ROUTER NOT WORKING!!! bhai,Low,High1
"please check, facing dns not resolving kya ho raha hai",Low,Low1
facing buffering problem bhai,Low,Low1
net not working again since long time,High,High2
internet not working since long time,High,High2
facing speed is low since long time kya ho raha hai,Low,Low1
UNSTABLE CONNECTION SINCE MORNING!!!,Low,Low1
"please check, disconnecting again and again since morning",Low,High1
"please check, buffering issue pls fix kya ho raha hai",Low,Low1
FACING net GONE!!! bhai,High,Low1
having no connection continuously bhai,High,High1
having wifi down continuously bhai,High,High1
FACING WIFI DOWN!!! yaar,High,High1
FACING WIFI DOWN!!!,High,High1
still internet not wrkng since long time,High,Low1
no connection not resolved yet since long time bhai,High,High2
having disconnecting again and again continuously kya ho raha hai,Low,High1
"wifi down, what is this?",High,High1
disconnecting again and again again since long time bhai,Low,High1
SPEED IS LOW PLS FIX!!! bhai,Low,Low1
"DISCONNECTING AGAIN AND AGAIN, WHAT IS THIS?!!! bhai",Low,High1
lag issue since long time bhai,Low,Low1
"please check, data loss problem again",Low,High1
"please check, connection not working from last night",High,High1
"please check, keeps dropping yaar",Low,Low1
still wifi down,High,High1
having router not running continuously since long time bhai,Low,High1
wifi down not resolved yet yaar,High,High1
"please check, router problem, what is this? yaar",Low,Low1
wifi down pls fix,High,High1
"please check, wifi down, what is this?",High,High1
UNSTABLE CONNECTION SINCE MORNING!!! yaar,Low,Low1
DELAY IN RESPONSE SINCE MORNING!!!,Low,Low2
"please check, facing connection gone yaar",High,Low1
"please check, having data loss issue continuously",Low,High1
SPEED IS LOW AGAIN!!!,Low,High1
"please check, internet very lagging since morning bhai",Low,Low1
having intrnet gone continuously,High,High1
ping too high not resolved yet since long time,Low,Low1
INTERNET VERY very slow AGAIN!!! kya masla hai,Low,High1
"please check, still data loss issue yaar",Low,Low1
having connection gone continuously since long time,High,High1
ROUTER PROBLEM FROM LAST NIGHT!!! kya ho raha hai,Low,Low1
"disconnecting again and again, what is this? yaar",Low,High1
still ping too high bhai,Low,Low1
"please check, ping too high not resolved yet bhai",Low,Low1
wifi down from last night bhai,High,High1
"please check, buffering problem bhai",Low,Low1
"please check, cannot access sites from last night yaar",Low,Low1
"wifi down, what is this? yaar",High,High1
packet loss happening since long time bhai,Low,Low1
"data loss issue, what is this? since long time yaar",Low,Low1
net NOT WORKING!!! yaar,High,High1
"connection NOT WORKING, WHAT IS THIS?!!! bhai",High,High1
having net gone continuously kya ho raha hai,High,High1
internet gone since morning since long time,High,Low1
HAVING INTERNET NOT WORKING CONTINUOUSLY!!! pls fix,High,High1
"please check, router problem yaar",Low,Low1
connection GONE AGAIN!!! kya ho raha hai,High,High1
FACING NO CONNECTION!!!,High,High1
ROUTER NOT WORKING PLS FIX!!!,Low,High1
packet loss happening again yaar,Low,High1
"please check, no connection kya ho raha hai",High,High1
no connection since long time bhai,High,High2
data loss issue pls fix since long time kya ho raha hai,Low,Low1
still no connection kya ho raha hai,High,High1
connection GONE AGAIN!!!,High,High1
INTERNET GONE PLS FIX!!!,High,Low1
HAVING INTERNET GONE CONTINUOUSLY!!! yaar,High,High1
still no connection bhai,High,High1
"internet gone, what is this? since long time",High,Low1
HAVING PACKET LOSS HAPPENING CONTINUOUSLY!!! bhai,Low,High1
data loss trouble not resolved yet,Low,Low1
still wifi down bhai,High,High1
having data loss issue continuously since long time,Low,High1
"NO CONNECTION, WHAT IS THIS?!!! yaar",High,High1
ROUTER NOT WORKING NOT RESOLVED YET!!! bhai,Low,High1
buffering problem from last night yaar,Low,Low1
still router not working yaar,Low,High1
still connection not working,High,High1
delay in response again since long time,Low,High1
FACING DISCONNECTING AGAIN AND AGAIN!!!,Low,High1
having net gone continuously since long time yaar,High,High1
"please check, router not running from last night",Low,Low1
having no connection continuously bhai,High,High1
"please check, connection gone from last night bhai",High,Low1
packet loss happening again since long time,Low,High1
"please check, data loss problem since morning bhai",Low,Low1
"please check, wifi down from last night",High,High1
"please check, wifi down",High,High1
wifi down pls fix bhai,High,High1
"please check, router not wrkng bhai",Low,Low1
"please check, facing delay in response bhai",Low,Low1
router problem,Low,Low1
speed is low since long time,Low,Low1
buffering trouble since morning yaar,Low,Low1
PING TOO HIGH AGAIN!!!,Low,High1
INTERNET NOT WORKING!!! kya ho raha hai,High,High1
keeps dropping from last night since long time bhai,Low,Low1
net gone pls fix since long time yaar,High,Low1
DNS NOT RESOLVING FROM LAST NIGHT!!! bhai,Low,Low1
ping too high pls fix,Low,Low1
unstable connection not resolved yet since long time kya ho raha hai,Low,Low1
FACING PACKET LOSS HAPPENING!!! kya ho raha hai,Low,Low1
STILL SPEED IS LOW!!! yaar,Low,Low1
"please check, keeps dropping pls fix",Low,Low1
"please check, facing internet not wrkng yaar",High,Low1
"please check, facing wifi down kya ho raha hai",High,High1
"please check, still no connection bhai",High,High1
facing intrnet not running since long time,High,Low1
"please check, wifi down pls fix kya ho raha hai",High,High1
having no connection continuously bhai,High,High1
having wifi down continuously since long time bhai,High,High2
BUFFERING problem NOT RESOLVED YET!!!,Low,Low1
facing wifi not working since long time yaar,High,High2
connection NOT WORKING NOT RESOLVED YET!!! bhai,High,High1
INTERNET NOT WORKING AGAIN!!! kya masla hai,High,High1
having delay in response continuously since long time bhai,Low,High1
"please check, having lag trouble continuously kya ho raha hai",Low,High1
STILL WIFI DOWN!!! yaar,High,High1
"please check, intrnet gone since morning bhai",High,Low1
"please check, facing internet not functioning yaar",High,Low1
"please check, net very slow",Low,Low1
data loss trouble pls fix since long time bhai,Low,Low1
SPEED IS LOW FROM LAST NIGHT!!! kya ho raha hai,Low,Low1
buffering trouble pls fix bhai,Low,Low1
CANNOT ACCESS SITES SINCE MORNING!!! bhai,Low,Low1
"no connection, what is this? bhai",High,High1
still packet loss happening bhai,Low,Low1
STILL INTERNET NOT WORKING!!! bhai,High,High1
DNS NOT RESOLVING FROM LAST NIGHT!!!,Low,Low1
no connection yaar,High,High1
wifi down bhai,High,High1
speed is low from last night bhai,Low,Low1
internet not working pls fix since long time bhai,High,High2
"please check, facing speed is low bhai",Low,Low1
facing cannot access sites since long time kya ho raha hai,Low,Low1
"please check, wifi down pls fix yaar",High,High1
"please check, ping too high again yaar",Low,High1
keeps dropping from last night,Low,Low1
internet gone again yaar,High,High1
wifi down since long time yaar,High,High2
still delay in response since long time,Low,Low2
"internet not working, what is this? bhai",High,High1
buffering problem not resolved yet yaar,Low,Low1
no connection pls fix since long time bhai,High,High2
"please check, speed is low from last night kya ho raha hai",Low,Low1
internet very slow from last night kya ho raha hai,Low,Low1
UNSTABLE CONNECTION FROM LAST NIGHT!!! bhai,Low,Low1
no connection not resolved yet since long time,High,High2
"please check, wifi down not resolved yet kya ho raha hai",High,High1
"please check, router problem kya masla hai",Low,Low1
net gone pls fix,High,Low1
"net slow, what is this? since long time bhai",Low,Low2
facing lag issue since long time bhai,Low,Low1
"please check, router problem again bhai",Low,High1
"please check, net lagging from last night yaar",Low,Low1
wifi not working since morning bhai,High,High2
facing no connection yaar,High,High1
FACING INTERNET NOT WORKING!!! bhai,High,High1
NO CONNECTION AGAIN!!! kya ho raha hai,High,High1
internet not functioning from last night,High,Low1
internet gone pls fix bhai,High,Low1
facing disconnecting again and again kya ho raha hai,Low,High1
"internet gone, what is this? since long time",High,Low1
ROUTER PROBLEM FROM LAST NIGHT!!!,Low,Low1
"please check, wifi down, what is this? yaar",High,High1
"please check, still internet not running bhai",High,Low1
wifi down from last night yaar,High,High1
"please check, router problem since morning bhai",Low,Low1
FACING DISCONNECTING AGAIN AND AGAIN!!!,Low,High1
no connection not resolved yet bhai,High,High1
net GONE PLS FIX!!!,High,Low1
still net gone kya ho raha hai,High,Low1
unstable connection pls fix bhai,Low,Low1
"router not working, what is this?",Low,High1
NET SLOW SINCE MORNING!!! yaar,Low,Low2
"DATA LOSS ISSUE, WHAT IS THIS?!!! bhai",Low,Low1
"please check, net not working again yaar",High,High1
"please check, wifi very slow from last night",Low,Low1
wifi down since morning since long time kya ho raha hai,High,High2
no connection pls fix kya ho raha hai,High,High1
FACING connection NOT WORKING!!! bhai,High,High1
disconnecting again and again again yaar,Low,High1
"please check, facing router not working",Low,High1
facing wifi down,High,High1
"please check, delay in response pls fix bhai",Low,Low1
"please check, still router not functioning",Low,Low1
still lag problem yaar,Low,Low1
"please check, packet loss happening kya ho raha hai",Low,Low1
still wifi gone since long time,High,Low1
"please check, lag issue from last night",Low,Low1
"please check, still no connection yaar",High,High1
"connection not working, what is this? since long time",High,High2
HAVING SPEED IS LOW CONTINUOUSLY!!! bhai,Low,High1
"please check, facing wifi down",High,High1
"please check, no connection yaar",High,High1
having speed is low continuously kya ho raha hai,Low,High1
"please check, no connection pls fix yaar",High,High1
INTERNET NOT functioning FROM LAST NIGHT!!! bhai,High,Low1
facing wifi down since long time kya ho raha hai,High,High2
buffering issue again since long time,Low,High1
wifi down since morning,High,High2
"please check, having no connection continuously",High,High1
LAG trouble PLS FIX!!! yaar,Low,Low1
"please check, connection not working since morning",High,High2
buffering problem since morning yaar,Low,Low1
dns not resolving pls fix kya ho raha hai,Low,Low1
INTERNET GONE FROM LAST NIGHT!!! yaar,High,Low1
"please check, internet gone since morning kya masla hai",High,Low1
WIFI DOWN AGAIN!!! yaar,High,High1
packet loss happening not resolved yet since long time yaar,Low,Low1
lag issue pls fix since long time,Low,Low1
facing wifi down bhai,High,High1
having speed is low continuously,Low,High1
wifi down pls fix bhai,High,High1
WIFI DOWN FROM LAST NIGHT!!! kya ho raha hai,High,High1
FACING DELAY IN RESPONSE!!! bhai,Low,Low1
ROUTER NOT WORKING PLS FIX!!! kya ho raha hai,Low,High1
intrnet gone not resolved yet since long time bhai,High,Low1
ping too high not resolved yet bhai,Low,Low1
unstable connection from last night since long time yaar,Low,Low1
PACKET LOSS HAPPENING!!! bhai,Low,Low1
facing wifi down yaar,High,High1
keeps dropping from last night since long time bhai,Low,Low1
still intrnet gone since long time bhai,High,Low1
disconnecting again and again from last night yaar,Low,High1
ROUTER PROBLEM AGAIN!!!,Low,High1
"please check, facing internet not wrkng yaar",High,Low1
INTERNET NOT WORKING!!! bhai,High,High1
packet loss happening pls fix since long time yaar,Low,Low1
NO CONNECTION PLS FIX!!! kya ho raha hai,High,High1
still internet gone bhai,High,Low1
"net slow, what is this?",Low,Low1
FACING KEEPS DROPPING!!!,Low,Low1
connection NOT WORKING FROM LAST NIGHT!!! bhai,High,High1
"please check, no connection from last night",High,High1
"please check, speed is low since morning bhai",Low,Low1
"INTERNET GONE, WHAT IS THIS?!!! yaar",High,Low1
having net gone continuously since long time,High,High1
ping too high again since long time yaar,Low,High1
router problem not resolved yet since long time kya ho raha hai,Low,Low1
still wifi down since long time kya ho raha hai,High,High2
INTERNET NOT WORKING PLS FIX!!! kya ho raha hai,High,High1
"please check, router problem",Low,Low1
packet loss happening not resolved yet bhai,Low,Low1
wifi gone again kya masla hai,High,High1
facing router not functioning since long time yaar,Low,Low1
"BUFFERING ISSUE, WHAT IS THIS?!!! yaar",Low,Low1
internet not working from last night kya ho raha hai,High,High1
disconnecting again and again since morning bhai,Low,High1
no connection again since long time,High,High2
facing unstable connection since long time,Low,Low1
"lag issue, what is this? kya ho raha hai",Low,Low1
still no connection since long time,High,High2
PACKET LOSS HAPPENING!!!,Low,Low1
delay in response since morning bhai,Low,Low2
"please check, dns not resolving from last night",Low,Low1
"please check, router problem bhai",Low,Low1
dns not resolving yaar,Low,Low1
"UNSTABLE CONNECTION, WHAT IS THIS?!!! yaar",Low,Low1
wifi very slow since long time,Low,Low2
"please check, still unstable connection bhai",Low,Low1
internet not wrkng again bhai,High,High1
WIFI DOWN NOT RESOLVED YET!!!,High,High1
facing internet gone since long time bhai,High,Low1
LAG trouble NOT RESOLVED YET!!! yaar,Low,Low1
intrnet gone not resolved yet since long time bhai,High,Low1
"please check, connection gone since morning",High,Low1
FACING WIFI DOWN!!! kya masla hai,High,High1
"please check, still internet not wrkng yaar",High,Low1
HAVING UNSTABLE CONNECTION CONTINUOUSLY!!!,Low,High1
STILL PING TOO HIGH!!! bhai,Low,Low1
"please check, data loss problem again yaar",Low,High1
INTERNET GONE FROM LAST NIGHT!!!,High,Low1
no connection pls fix since long time kya ho raha hai,High,High2
"please check, internet very slow pls fix bhai",Low,Low1
"please check, facing internet gone",High,Low1
delay in response since morning yaar,Low,Low2
wifi down pls fix since long time,High,High2
STILL BUFFERING ISSUE!!! bhai,Low,Low1
keeps dropping since morning bhai,Low,Low1
facing keeps dropping,Low,Low1
net GONE AGAIN!!! kya ho raha hai,High,High1
"internet not working, what is this? since long time yaar",High,High2
"please check, net too slow bhai",Low,Low1
having wifi down continuously kya masla hai,High,High1
wifi down since morning since long time yaar,High,High2
facing lag issue since long time yaar,Low,Low1
"please check, packet loss happening",Low,Low1
"please check, still lag issue",Low,Low1
"please check, connection gone pls fix kya ho raha hai",High,Low1
STILL connection VERY SLOW!!! yaar,Low,Low1
unstable connection again bhai,Low,High1
still router problem kya ho raha hai,Low,Low1
"please check, buffering issue since morning bhai",Low,Low1
intrnet gone pls fix since long time,High,Low1
PING TOO HIGH AGAIN!!! kya ho raha hai,Low,High1
HAVING WIFI DOWN CONTINUOUSLY!!! bhai,High,High1
"please check, wifi down",High,High1
router not working again since long time bhai,Low,High2
still delay in response since long time kya ho raha hai,Low,Low2
facing wifi down since long time,High,High2
FACING net GONE!!!,High,Low1
HAVING SPEED IS LOW CONTINUOUSLY!!! yaar,Low,High1
data loss issue again since long time bhai,Low,High1
HAVING NO CONNECTION CONTINUOUSLY!!!,High,High1
"please check, buffering issue again bhai",Low,High1
unstable connection again bhai,Low,High1
lag trouble since long time yaar,Low,Low1
ROUTER PROBLEM PLS FIX!!! yaar,Low,Low1
wifi GONE FROM LAST NIGHT!!! yaar,High,Low1
"no connection, what is this? bhai",High,High1
still net not working bhai,High,High1
"ping too high, what is this? since long time kya ho raha hai",Low,Low1
lag problem pls fix since long time kya masla hai,Low,Low1
"please check, still packet loss happening",Low,Low1
buffering problem bhai,Low,Low1
ping too high pls fix since long time yaar,Low,Low1
"please check, speed is low since morning kya ho raha hai",Low,Low1
wifi NOT WORKING SINCE MORNING!!! bhai,High,High3
"please check, wifi down kya ho raha hai",High,High1
"please check, dns not resolving pls fix",Low,Low1
having net slow continuously since long time bhai,Low,High1
disconnecting again and again since long time bhai,Low,High1
facing internet gone,High,Low1
HAVING ROUTER PROBLEM CONTINUOUSLY!!!,Low,High1
router not running pls fix since long time,Low,Low1
STILL INTERNET NOT WORKING!!!,High,High1
"please check, unstable connection pls fix bhai",Low,Low1
"please check, facing lag trouble",Low,Low1
net lagging kya ho raha hai,Low,Low1
"please check, net very slow kya ho raha hai",Low,Low1
"please check, wifi gone not resolved yet kya ho raha hai",High,Low1
no connection bhai,High,High1
buffering problem from last night since long time yaar,Low,Low1
no connection again kya masla hai,High,High1
"please check, wifi down not resolved yet yaar",High,High1
no connection pls fix yaar,High,High1
"no connection, what is this? kya ho raha hai",High,High1
DISCONNECTING AGAIN AND AGAIN!!! bhai,Low,High1
"please check, router problem since morning kya ho raha hai",Low,Low1
dns not resolving since long time yaar,Low,Low1
"please check, intrnet not working, what is this? yaar",High,High1
INTERNET GONE PLS FIX!!!,High,Low1
internet not functioning again since long time yaar,High,High1
"please check, internet not working, what is this? yaar",High,High1
still lag issue since long time,Low,Low1
no connection pls fix,High,High1
wifi gone pls fix since long time kya ho raha hai,High,Low1
wifi gone pls fix yaar,High,Low1
"please check, net not working since morning",High,High2
router problem pls fix since long time kya ho raha hai,Low,Low1
"please check, net gone, what is this?",High,Low1
"ping too high, what is this? since long time kya ho raha hai",Low,Low1
"INTERNET VERY SLOW, WHAT IS THIS?!!! kya ho raha hai",Low,Low1
"please check, internet not working, what is this?",High,High1
NET SLOW!!! bhai,Low,Low1
internet very slow from last night bhai,Low,Low1
INTERNET NOT WORKING AGAIN!!! kya ho raha hai,High,High1
FACING WIFI DOWN!!!,High,High1
NO CONNECTION PLS FIX!!!,High,High1
wifi down not resolved yet since long time,High,High2
"please check, wifi down pls fix",High,High1
net not wrkng since long time yaar,High,Low1
wifi down again since long time kya ho raha hai,High,High2
packet loss happening since morning since long time bhai,Low,Low1
SPEED IS LOW FROM LAST NIGHT!!! kya ho raha hai,Low,Low1
packet loss happening again,Low,High1
"please check, wifi down pls fix",High,High1
unstable connection pls fix since long time,Low,Low1
lag issue not resolved yet since long time yaar,Low,Low1
facing buffering problem since long time,Low,Low1
BUFFERING problem FROM LAST NIGHT!!! yaar,Low,Low1
wifi down pls fix since long time,High,High2
WIFI DOWN!!! kya masla hai,High,High1
"please check, lag trouble pls fix kya ho raha hai",Low,Low1
net slow pls fix yaar,Low,Low1
"please check, internet gone pls fix kya masla hai",High,Low1
net not working from last night kya ho raha hai,High,High1
still net lagging since long time kya ho raha hai,Low,Low1
"please check, still speed is low bhai",Low,Low1
"please check, speed is low yaar",Low,Low1
"please check, wifi not working, what is this? kya ho raha hai",High,High1
connection gone not resolved yet kya ho raha hai,High,Low1
FACING INTERNET VERY SLOW!!!,Low,Low1
WIFI DOWN PLS FIX!!! yaar,High,High1
"please check, facing speed is low yaar",Low,Low1
internet not functioning pls fix kya masla hai,High,Low1
"please check, net slow from last night bhai",Low,Low1
having packet loss happening continuously since long time yaar,Low,High1
disconnecting again and again since morning bhai,Low,High1
wifi down since morning kya ho raha hai,High,High2
"please check, buffering trouble yaar",Low,Low1
"buffering issue, what is this? bhai",Low,Low1
internet not wrkng pls fix since long time yaar,High,Low1
still wifi down bhai,High,High1
"please check, still lag issue yaar",Low,Low1
wifi down pls fix kya ho raha hai,High,High1
FACING INTERNET NOT WORKING!!! kya masla hai,High,High1
facing ping too high since long time yaar,Low,Low1
connection not working again,High,High1
still buffering problem since long time kya ho raha hai,Low,Low1
net GONE NOT RESOLVED YET!!!,High,Low1
"please check, no connection from last night kya ho raha hai",High,High1
still unstable connection since long time bhai,Low,Low1
HAVING WIFI DOWN CONTINUOUSLY!!! bhai,High,High1
disconnecting again and again not resolved yet since long time yaar,Low,High1
"DELAY IN RESPONSE, WHAT IS THIS?!!! yaar",Low,Low1
"wifi very slow, what is this? bhai",Low,Low1
still packet loss happening since long time yaar,Low,Low1
"buffering issue, what is this? bhai",Low,Low1
internet not functioning pls fix yaar,High,Low1
router problem from last night kya ho raha hai,Low,Low1
"cannot access sites, what is this? since long time bhai",Low,Low1
unstable connection again since long time,Low,High1
UNSTABLE CONNECTION NOT RESOLVED YET!!!,Low,Low1
"please check, wifi not working, what is this? bhai",High,High1
no connection since morning,High,High2
having delay in response continuously,Low,High1
speed is low since long time kya masla hai,Low,Low1
keeps dropping since morning since long time bhai,Low,Low1
having internet not working continuously since long time,High,High2
internet gone again kya masla hai,High,High1
having net too slow continuously bhai,Low,High1
"please check, net slow pls fix",Low,Low1
packet loss happening since long time bhai,Low,Low1
"please check, having lag trouble continuously bhai",Low,High1
"please check, net gone again kya ho raha hai",High,High1
"router not working, what is this? since long time kya ho raha hai",Low,High2
"wifi down, what is this? bhai",High,High1
still internet not functioning since long time kya masla hai,High,Low1
dns not resolving again since long time bhai,Low,High1
DNS NOT RESOLVING NOT RESOLVED YET!!! kya ho raha hai,Low,Low1
router problem since morning since long time kya masla hai,Low,Low1
FACING DNS NOT RESOLVING!!!,Low,Low1
HAVING connection GONE CONTINUOUSLY!!! yaar,High,High1
no connection again since long time bhai,High,High2
"connection NOT WORKING, WHAT IS THIS?!!!",High,High1
still delay in response bhai,Low,Low1
HAVING BUFFERING trouble CONTINUOUSLY!!! bhai,Low,High1
ping too high from last night kya ho raha hai,Low,Low1
INTERNET VERY SLOW FROM LAST NIGHT!!! bhai,Low,Low1
facing no connection since long time bhai,High,High2
having no connection continuously kya ho raha hai,High,High1
DELAY IN RESPONSE!!! bhai,Low,Low1
"please check, lag problem pls fix kya masla hai",Low,Low1
wifi GONE NOT RESOLVED YET!!!,High,Low1
wifi down from last night since long time yaar,High,High2
wifi down since long time,High,High2
router not wrkng not resolved yet,Low,Low1
having no connection continuously bhai,High,High1
facing unstable connection yaar,Low,Low1
connection very slow since long time,Low,Low2
buffering trouble from last night since long time,Low,Low1
data loss trouble pls fix since long time kya ho raha hai,Low,Low1
HAVING BUFFERING trouble CONTINUOUSLY!!! kya ho raha hai,Low,High1
"NET SLOW, WHAT IS THIS?!!! kya masla hai",Low,Low1
"connection GONE, WHAT IS THIS?!!! bhai",High,Low1
internet very slow again since long time yaar,Low,High1
having data loss trouble continuously bhai,Low,High1
STILL UNSTABLE CONNECTION!!! kya masla hai,Low,Low1
LAG problem NOT RESOLVED YET!!! kya masla hai,Low,Low1
"packet loss happening, what is this? since long time",Low,Low1
"please check, lag issue, what is this? bhai",Low,Low1
"please check, ping too high since morning kya masla hai",Low,Low1
speed is low again since long time bhai,Low,High1
wifi gone since morning,High,Low1
cannot access sites from last night since long time,Low,Low1
UNSTABLE CONNECTION FROM LAST NIGHT!!!,Low,Low1
KEEPS DROPPING!!! yaar,Low,Low1
data loss issue since morning bhai,Low,Low1
"please check, having keeps dropping continuously",Low,High1
INTERNET NOT WORKING AGAIN!!!,High,High1
wifi down again since long time,High,High2
net very slow again yaar,Low,High1
"please check, cannot access sites since morning kya ho raha hai",Low,Low1
ping too high since morning kya masla hai,Low,Low1
having buffering issue continuously since long time,Low,High1
ping too high not resolved yet since long time,Low,Low1
speed is low again since long time,Low,High1
wifi down since morning bhai,High,High2
SPEED IS LOW AGAIN!!! yaar,Low,High1
having wifi down continuously bhai,High,High1
data loss issue since long time yaar,Low,Low1
"please check, net slow since morning yaar",Low,Low2
still delay in response kya ho raha hai,Low,Low1
internet not working pls fix yaar,High,High1
NO CONNECTION AGAIN!!! kya ho raha hai,High,High1
facing no connection bhai,High,High1
"please check, having no connection continuously yaar",High,High1
"please check, buffering issue from last night bhai",Low,Low1
"please check, cannot access sites from last night bhai",Low,Low1
"please check, no connection, what is this? asap",High,High1
buffering issue,Low,Low1
having connection gone continuously since long time kya masla hai,High,High1
"please check, disconnecting again and again since morning kya ho raha hai",Low,High1
still disconnecting again and again bhai,Low,High1
"please check, facing no connection bhai",High,High1
intrnet not working not resolved yet kya masla hai,High,High1
FACING connection NOT WORKING!!!,High,High1
internet gone from last night,High,Low1
DISCONNECTING AGAIN AND AGAIN!!!,Low,High1
no connection from last night kya ho raha hai,High,High1
net slow from last night bhai,Low,Low1
ping too high not resolved yet since long time bhai,Low,Low1
"connection GONE, WHAT IS THIS?!!! kya ho raha hai",High,Low1
connection gone from last night bhai,High,Low1
