grievance_text,severity
internet very slow again since long time yaar,5
having data loss trouble continuously bhai,4
STILL UNSTABLE CONNECTION!!! kya masla hai,4
LAG problem NOT RESOLVED YET!!! kya masla hai,5
"packet loss happening, what is this? since long time",4
"please check, lag issue, what is this? bhai",5
"please check, ping too high since morning kya masla hai",4
speed is low again since long time bhai,4
wifi gone since morning,4
cannot access sites from last night since long time,4
UNSTABLE CONNECTION FROM LAST NIGHT!!!,4
KEEPS DROPPING!!! yaar,4
data loss issue since morning bhai,4
"please check, having keeps dropping continuously",4
INTERNET NOT WORKING AGAIN!!!,2
wifi down again since long time,2
net very slow again yaar,5
"please check, cannot access sites since morning kya ho raha hai",4
ping too high since morning kya masla hai,4
having buffering issue continuously since long time,5
ping too high not resolved yet since long time,4
speed is low again since long time,4
wifi down since morning bhai,2
SPEED IS LOW AGAIN!!! yaar,4
having wifi down continuously bhai,1
data loss issue since long time yaar,4
"please check, net slow since morning yaar",5
still delay in response kya ho raha hai,4
internet not working pls fix yaar,1
NO CONNECTION AGAIN!!! kya ho raha hai,2
facing no connection bhai,1
"please check, having no connection continuously yaar",1
"please check, buffering issue from last night bhai",5
"please check, cannot access sites from last night bhai",4
"please check, no connection, what is this? asap",2
buffering issue,5
having connection gone continuously since long time kya masla hai,4
"please check, disconnecting again and again since morning kya ho raha hai",4
still disconnecting again and again bhai,4
"please check, facing no connection bhai",1
intrnet not working not resolved yet kya masla hai,1
FACING connection NOT WORKING!!!,2
internet gone from last night,1
DISCONNECTING AGAIN AND AGAIN!!!,4
no connection from last night kya ho raha hai,1
net slow from last night bhai,5
ping too high not resolved yet since long time bhai,4
"connection GONE, WHAT IS THIS?!!! kya ho raha hai",4
connection gone from last night bhai,4
"please check, packet loss happening not resolved yet bhai",4
wifi down pls fix yaar,1
FACING WIFI DOWN!!!,2
"please check, still no connection",1
still no connection bhai,1
"DNS NOT RESOLVING, WHAT IS THIS?!!!",4
facing buffering issue since long time bhai,5
"please check, intrnet gone again yaar",4
"WIFI DOWN, WHAT IS THIS?!!!",2
"please check, facing unstable connection",4
INTERNET GONE SINCE MORNING!!! kya masla hai,3
no connection since morning since long time,2
FACING net GONE!!! kya ho raha hai,4
"wifi down, what is this? since long time yaar",2
"please check, speed is low",4
"DATA LOSS ISSUE, WHAT IS THIS?!!!",4
facing connection not working kya ho raha hai,1
facing intrnet not working since long time yaar,2
"please check, wifi down pls fix kya ho raha hai",1
still unstable connection since long time bhai,4
router problem pls fix since long time kya masla hai,4
DNS NOT RESOLVING PLS FIX!!! kya masla hai,4
FACING INTERNET GONE!!!,2
"please check, lag problem since morning",5
connection NOT WORKING!!!,2
"please check, delay in response since morning",4
net not working since long time bhai,2
lag problem since morning since long time bhai,5
"please check, no connection pls fix kya ho raha hai",1
"please check, having no connection continuously yaar",1
"please check, no connection not resolved yet",1
internet not functioning pls fix kya ho raha hai,4
internet not working again since long time bhai,2
"please check, buffering trouble not resolved yet",5
INTERNET VERY SLOW SINCE MORNING!!! yaar,5
PING TOO HIGH!!! kya ho raha hai,4
connection gone not resolved yet yaar,4
INTERNET NOT WORKING AGAIN!!!,2
"please check, delay in response pls fix yaar",4
"please check, still internet not running",4
NO CONNECTION FROM LAST NIGHT!!!,2
having internet not working continuously since long time bhai,2
"please check, still delay in response bhai",4
WIFI DOWN NOT RESOLVED YET!!! kya ho raha hai,2
FACING NO CONNECTION!!! kya ho raha hai,2
net gone since morning since long time yaar,4
facing internet gone since long time kya masla hai,2
facing disconnecting again and again bhai,4
"please check, facing internet not working",1
"please check, wifi down from last night yaar",1
HAVING DATA LOSS trouble CONTINUOUSLY!!! yaar,4
"wifi not working, what is this? kya ho raha hai",1
having no connection continuously,1
still packet loss happening since long time yaar,4
no connection yaar,1
"KEEPS DROPPING, WHAT IS THIS?!!! bhai",4
connection gone since morning since long time kya ho raha hai,4
"please check, disconnecting again and again since morning kya masla hai",4
delay in response from last night since long time yaar,4
"please check, still internet not working",1
net very slow pls fix bhai,5
"please check, facing wifi down bhai",1
"please check, keeps dropping, what is this? kya ho raha hai",4
still router problem,4
"please check, internet not working",1
having internet not wrkng continuously since long time,4
ROUTER PROBLEM SINCE MORNING!!! kya ho raha hai,4
internet not running pls fix since long time kya ho raha hai,4
internet not working bhai,1
wifi down not resolved yet since long time yaar,2
WIFI DOWN!!! yaar,2
"please check, wifi down again",1
still no connection since long time,2
net GONE!!! kya ho raha hai,4
having lag issue continuously kya ho raha hai,5
HAVING connection GONE CONTINUOUSLY!!!,4
SPEED IS LOW FROM LAST NIGHT!!!,4
connection GONE FROM LAST NIGHT!!! kya masla hai,4
wifi gone since morning,4
net NOT WORKING AGAIN!!!,2
unstable connection pls fix since long time kya masla hai,4
buffering issue pls fix kya ho raha hai,5
FACING ROUTER PROBLEM!!!,4
"please check, having router problem continuously",4
PACKET LOSS HAPPENING SINCE MORNING!!!,4
dns not resolving pls fix since long time kya ho raha hai,4
unstable connection from last night kya ho raha hai,4
KEEPS DROPPING!!! pls fix,4
"please check, speed is low yaar",4
internet gone not resolved yet since long time kya ho raha hai,2
ROUTER NOT WORKING NOT RESOLVED YET!!! yaar,2
ROUTER PROBLEM AGAIN!!! kya masla hai,4
intrnet not running not resolved yet since long time bhai,4
facing wifi down kya ho raha hai,1
NET too slow PLS FIX!!! kya ho raha hai,5
"please check, net gone again",4
"wifi down, what is this? since long time",2
data loss problem again,4
"speed is low, what is this? kya ho raha hai",4
FACING SPEED IS LOW!!! bhai,4
no connection since morning kya ho raha hai,2
NO CONNECTION SINCE MORNING!!! bhai,3
still router not working since long time,2
disconnecting again and again pls fix kya ho raha hai,4
NO CONNECTION NOT RESOLVED YET!!! yaar,2
"please check, having router not running continuously",4
"please check, cannot access sites kya masla hai",4
HAVING PACKET LOSS HAPPENING CONTINUOUSLY!!!,4
speed is low from last night since long time kya ho raha hai,4
net NOT WORKING PLS FIX!!! kya masla hai,2
"please check, facing router not functioning kya ho raha hai",4
connection not wrkng from last night since long time bhai,4
wifi down not resolved yet,1
"wifi down, what is this?",1
delay in response from last night,4
net very slow not resolved yet,5
INTERNET NOT functioning SINCE MORNING!!! kya masla hai,4
wifi down pls fix since long time kya ho raha hai,2
connection gone since morning since long time,4
facing lag trouble,5
"please check, still dns not resolving bhai",4
NET very slow PLS FIX!!! bhai,5
"please check, connection gone since morning bhai",4
keeps dropping since morning yaar,4
FACING SPEED IS LOW!!! kya ho raha hai,4
"please check, still internet not working yaar",1
connection VERY SLOW NOT RESOLVED YET!!!,5
ROUTER NOT WORKING NOT RESOLVED YET!!!,2
net gone again yaar,4
no connection pls fix since long time,2
INTERNET GONE SINCE MORNING!!! bhai,3
FACING INTERNET NOT WORKING!!! kya ho raha hai,2
KEEPS DROPPING AGAIN!!! kya ho raha hai,4
DATA LOSS ISSUE NOT RESOLVED YET!!! kya ho raha hai,4
lag trouble pls fix,5
"wifi not working, what is this? bhai",1
internet not working from last night bhai,1
"dns not resolving, what is this? kya ho raha hai",4
"please check, dns not resolving, what is this? bhai",4
"please check, router problem pls fix bhai",4
"please check, facing net not working bhai",1
"please check, no connection, what is this? yaar",1
HAVING SPEED IS LOW CONTINUOUSLY!!! kya ho raha hai,4
wifi down yaar,1
INTERNET NOT functioning NOT RESOLVED YET!!! kya ho raha hai,4
HAVING SPEED IS LOW CONTINUOUSLY!!! yaar,4
"please check, data loss problem not resolved yet bhai",4
DELAY IN RESPONSE PLS FIX!!!,4
FACING INTERNET GONE!!! bhai,2
"please check, dns not resolving pls fix bhai",4
no connection pls fix since long time bhai,2
still internet gone kya ho raha hai,1
"ping too high, what is this? since long time",4
no connection from last night since long time,2
having internet not working continuously bhai,1
"please check, wifi down again",1
no connection from last night since long time kya masla hai,2
"please check, internet very too slow again yaar",5
still no connection,1
"NET SLOW, WHAT IS THIS?!!! bhai",5
INTERNET NOT WORKING AGAIN!!! kya ho raha hai,2
"please check, still internet not working bhai",1
"connection very slow, what is this? yaar",5
"please check, having wifi gone continuously",4
disconnecting again and again again bhai,4
"please check, wifi down from last night bhai",1
"please check, delay in response pls fix bhai",4
still no connection since long time kya ho raha hai,2
ping too high pls fix bhai,4
facing wifi down since long time yaar,2
facing no connection bhai,1
having cannot access sites continuously since long time yaar,4
"disconnecting again and again, what is this? since long time yaar",4
net slow since long time bhai,5
"please check, unstable connection yaar",4
"please check, lag problem",5
still net gone since long time yaar,4
no connection not resolved yet,1
facing internet gone since long time,2
"please check, lag problem pls fix bhai",5
"please check, delay in response from last night bhai",4
internet very too slow not resolved yet,5
unstable connection since morning bhai,4
PACKET LOSS HAPPENING PLS FIX!!!,4
"please check, wifi gone yaar",4
"please check, still wifi down yaar",1
DELAY IN RESPONSE SINCE MORNING!!! kya ho raha hai,4
"internet not working, what is this? bhai",1
ROUTER PROBLEM AGAIN!!! kya ho raha hai,4
facing connection gone kya ho raha hai,4
NO CONNECTION PLS FIX!!!,2
no connection not resolved yet since long time,2
"please check, no connection kya ho raha hai",1
facing delay in response since long time,4
"wifi down, what is this? since long time kya ho raha hai",2
"please check, facing speed is low",4
unstable connection since long time bhai,4
having data loss issue continuously,4
ROUTER NOT WORKING AGAIN!!! bhai,2
delay in response bhai,4
"please check, having wifi down continuously",1
"please check, buffering problem again kya masla hai",5
WIFI DOWN SINCE MORNING!!!,3
"no connection, what is this? bhai",1
WIFI DOWN PLS FIX!!!,2
FACING UNSTABLE CONNECTION!!! kya ho raha hai,4
"please check, still connection not working",1
"please check, no connection, what is this? kya ho raha hai",1
HAVING INTERNET VERY SLOW CONTINUOUSLY!!!,5
no connection pls fix since long time yaar,2
having keeps dropping continuously since long time kya ho raha hai,4
still data loss trouble bhai,4
wifi not wrkng since long time yaar,4
"please check, facing packet loss happening kya ho raha hai",4
PACKET LOSS HAPPENING SINCE MORNING!!!,4
"please check, having delay in response continuously",4
"please check, no connection pls fix bhai",1
ping too high kya ho raha hai,4
ROUTER NOT functioning PLS FIX!!! bhai,4
DELAY IN RESPONSE FROM LAST NIGHT!!!,4
"please check, keeps dropping again kya ho raha hai",4
internet not working again kya ho raha hai,1
"please check, ping too high from last night yaar",4
wifi not working since morning kya ho raha hai,2
PING TOO HIGH SINCE MORNING!!! bhai,4
"please check, no connection pls fix yaar",1
speed is low again since long time kya ho raha hai,4
DISCONNECTING AGAIN AND AGAIN SINCE MORNING!!!,4
"please check, internet gone again asap",2
unstable connection since morning,4
"please check, cannot access sites not resolved yet",4
"please check, facing internet not working",1
"cannot access sites, what is this?",4
speed is low since morning since long time bhai,4
"please check, still lag trouble bhai",5
"please check, ping too high kya ho raha hai",4
"please check, dns not resolving not resolved yet kya ho raha hai",4
having internet gone continuously kya masla hai,1
INTERNET NOT running SINCE MORNING!!! bhai,4
connection gone again since long time pls fix,4
intrnet gone since morning since long time bhai,4
still wifi down since long time,2
"UNSTABLE CONNECTION, WHAT IS THIS?!!! kya ho raha hai",4
having wifi not wrkng continuously since long time,4
having ping too high continuously,4
keeps dropping from last night yaar,4
router not working kya ho raha hai,1
"please check, having no connection continuously bhai",1
HAVING PING TOO HIGH CONTINUOUSLY!!!,4
"please check, net too slow again",5
lag problem again since long time bhai,5
internet not working from last night,1
"please check, net not working from last night",1
"please check, router not running kya masla hai",4
data loss issue since long time kya ho raha hai,4
net gone not resolved yet since long time kya ho raha hai,4
"please check, wifi down not resolved yet",1
lag issue since morning kya ho raha hai,5
NO CONNECTION!!! kya ho raha hai,2
"please check, facing unstable connection",4
having no connection continuously yaar,1
"intrnet very slow, what is this? since long time",5
wifi down not resolved yet yaar,1
ping too high pls fix since long time bhai,4
facing packet loss happening kya ho raha hai,4
STILL DATA LOSS ISSUE!!!,4
cannot access sites pls fix since long time kya masla hai,4
"please check, having router problem continuously kya masla hai",4
"please check, speed is low not resolved yet kya ho raha hai",4
having unstable connection continuously kya ho raha hai,4
having internet very slow continuously since long time yaar,5
FACING LAG ISSUE!!!,5
connection not working not resolved yet since long time,2
packet loss happening not resolved yet bhai,4
wifi down from last night since long time,2
ping too high pls fix since long time bhai,4
wifi down not resolved yet since long time,2
"please check, keeps dropping pls fix kya ho raha hai",4
ping too high from last night since long time,4
still wifi down since long time,2
ping too high since morning bhai,4
wifi down not resolved yet since long time,2
NO CONNECTION AGAIN!!!,2
INTERNET GONE!!! kya ho raha hai,2
having router not working continuously,1
internet not functioning yaar,4
no connection again bhai,1
net gone pls fix,4
NO CONNECTION FROM LAST NIGHT!!! kya ho raha hai,2
FACING BUFFERING ISSUE!!! bhai,5
"please check, delay in response from last night kya ho raha hai",4
"please check, delay in response not resolved yet",4
STILL UNSTABLE CONNECTION!!! kya ho raha hai,4
still wifi down yaar,1
"please check, disconnecting again and again from last night",4
DATA LOSS ISSUE SINCE MORNING!!!,4
"please check, delay in response, what is this? bhai",4
"wifi not working, what is this? yaar",1
wifi down again since long time yaar,2
"connection not wrkng, what is this? since long time kya ho raha hai",4
no connection since morning kya ho raha hai,2
"please check, wifi gone from last night bhai",4
net NOT WORKING!!! bhai,2
data loss problem since morning since long time,4
HAVING NO CONNECTION CONTINUOUSLY!!! bhai,2
STILL WIFI DOWN!!! kya ho raha hai,2
HAVING KEEPS DROPPING CONTINUOUSLY!!!,4
"please check, internet gone, what is this? bhai",1
cannot access sites since long time bhai,4
"please check, keeps dropping pls fix bhai",4
"please check, still wifi gone bhai",4
no connection again kya ho raha hai,1
"please check, router not working since morning yaar",2
"please check, unstable connection again kya masla hai",4
packet loss happening pls fix,4
wifi down since morning since long time,2
net GONE!!! kya ho raha hai,4
unstable connection from last night since long time bhai,4
data loss trouble from last night bhai,4
speed is low from last night since long time bhai,4
having keeps dropping continuously kya ho raha hai,4
still disconnecting again and again since long time bhai,4
wifi down pls fix since long time,2
still speed is low kya masla hai,4
"please check, lag issue since morning yaar",5
"cannot access sites, what is this? since long time yaar",4
"please check, no connection bhai",1
DATA LOSS ISSUE AGAIN!!!,4
"please check, still no connection",1
"please check, internet not running again bhai",4
connection gone kya ho raha hai,4
internet not working not resolved yet yaar,1
facing net not working since long time bhai,2
net NOT WORKING NOT RESOLVED YET!!! kya ho raha hai,2
no connection again,1
internet very lagging since morning since long time,5
STILL NET SLOW!!! kya ho raha hai,5
wifi down not resolved yet kya ho raha hai,1
still connection not working since long time kya masla hai,2
PACKET LOSS HAPPENING AGAIN!!!,4
INTERNET NOT WORKING FROM LAST NIGHT!!!,2
internet not running again kya ho raha hai,4
STILL net NOT WORKING!!!,2
net gone since morning bhai,4
"please check, net slow pls fix kya ho raha hai",5
ping too high yaar,4
still internet not working since long time bhai,2
wifi down from last night yaar,1
"please check, internet very slow again asap",5
connection not wrkng not resolved yet since long time yaar,4
facing wifi down,1
wifi very slow pls fix since long time,5
NO CONNECTION SINCE MORNING!!! bhai,3
intrnet not working from last night since long time,2
still router not running since long time bhai,4
wifi down yaar,1
no connection again since long time kya ho raha hai,2
internet very slow pls fix kya ho raha hai,5
internet not working from last night bhai,1
ROUTER NOT WORKING NOT RESOLVED YET!!! kya masla hai,2
disconnecting again and again since morning since long time bhai,4
no connection from last night since long time,2
no connection again yaar,1
lag issue from last night,5
"please check, net slow not resolved yet bhai",5
"please check, unstable connection not resolved yet yaar",4
data loss problem not resolved yet bhai,4
cannot access sites not resolved yet since long time,4
"please check, delay in response, what is this? kya ho raha hai",4
"NET SLOW, WHAT IS THIS?!!!",5
net lagging again bhai,5
"BUFFERING ISSUE, WHAT IS THIS?!!! kya ho raha hai",5
ROUTER NOT running NOT RESOLVED YET!!!,4
ROUTER PROBLEM NOT RESOLVED YET!!!,4
net gone since morning since long time kya ho raha hai,4
unstable connection again since long time,4
having router not working continuously since long time bhai,2
"please check, still buffering issue kya masla hai",5
"WIFI DOWN, WHAT IS THIS?!!!",2
net gone since long time,4
still wifi down since long time bhai,2
NO CONNECTION SINCE MORNING!!!,3
facing speed is low bhai,4
"please check, no connection, what is this? yaar",1
"please check, still internet not running bhai",4
having keeps dropping continuously kya masla hai,4
facing wifi very slow since long time yaar,5
no connection from last night yaar,1
internet gone not resolved yet kya ho raha hai,1
PING TOO HIGH PLS FIX!!! bhai,4
STILL INTERNET GONE!!!,2
packet loss happening from last night bhai,4
facing net not working yaar,1
wifi gone pls fix since long time,4
"please check, connection gone since morning bhai",4
still internet very slow bhai,5
connection very slow again yaar,5
"please check, having router not working continuously yaar",1
still internet gone kya masla hai,1
packet loss happening since morning kya ho raha hai,4
having router not functioning continuously bhai,4
"please check, connection not working again bhai",1
INTERNET NOT functioning NOT RESOLVED YET!!! bhai,4
wifi VERY SLOW!!! bhai,5
router problem since long time yaar,4
STILL connection NOT WORKING!!!,2
STILL connection NOT WORKING!!! kya ho raha hai,2
still internet not functioning since long time kya ho raha hai,4
"please check, still internet very slow bhai",5
buffering trouble kya ho raha hai,5
"please check, cannot access sites again",4
having cannot access sites continuously since long time kya ho raha hai,4
HAVING INTERNET NOT WORKING CONTINUOUSLY!!! yaar,2
"ping too high, what is this? yaar",4
unstable connection since morning since long time yaar,4
internet not functioning from last night since long time,4
"please check, connection not working not resolved yet bhai",1
internet very slow since long time kya ho raha hai,5
"please check, internet not working since morning yaar",2
SPEED IS LOW!!!,4
STILL DNS NOT RESOLVING!!!,4
internet not working again bhai,1
having internet not functioning continuously,4
still wifi down,1
INTERNET GONE PLS FIX!!! yaar,2
"please check, router problem bhai",4
connection gone from last night bhai,4
STILL PING TOO HIGH!!! yaar,4
router not wrkng since morning since long time bhai,4
"WIFI DOWN, WHAT IS THIS?!!! bhai",2
"please check, packet loss happening, what is this?",4
data loss issue bhai,4
"net NOT WORKING, WHAT IS THIS?!!! bhai",2
"please check, wifi down kya ho raha hai",1
"please check, internet not working from last night",1
"please check, facing cannot access sites",4
buffering problem again since long time bhai,5
speed is low from last night yaar,4
HAVING WIFI DOWN CONTINUOUSLY!!!,2
internet not working not resolved yet,1
"please check, having keeps dropping continuously kya ho raha hai",4
facing internet gone since long time kya ho raha hai,2
"please check, still wifi down yaar",1
dns not resolving since long time,4
wifi gone not resolved yet since long time yaar,4
"please check, still speed is low bhai",4
"packet loss happening, what is this? since long time bhai",4
"please check, speed is low again",4
"please check, having no connection continuously",1
"connection gone, what is this? since long time yaar",4
net too slow from last night,5
net gone since morning yaar,4
"please check, lag issue again bhai",5
NO CONNECTION PLS FIX!!! yaar,2
facing no connection since long time kya masla hai,2
DELAY IN RESPONSE AGAIN!!!,4
ping too high from last night kya ho raha hai,4
"please check, having no connection continuously bhai",1
internet very lagging from last night since long time kya ho raha hai,5
wifi down not resolved yet kya ho raha hai,1
"please check, internet gone from last night yaar",1
WIFI DOWN FROM LAST NIGHT!!! bhai,2
DNS NOT RESOLVING NOT RESOLVED YET!!!,4
net gone not resolved yet since long time bhai,4
still internet not running since long time,4
NO CONNECTION PLS FIX!!!,2
no connection from last night bhai,1
ROUTER NOT functioning SINCE MORNING!!! bhai,4
HAVING INTERNET VERY SLOW CONTINUOUSLY!!!,5
still speed is low since long time kya ho raha hai,4
still wifi down since long time kya ho raha hai,2
"please check, net lagging from last night kya ho raha hai",5
"please check, wifi down since morning",2
"please check, delay in response from last night kya ho raha hai",4
WIFI DOWN FROM LAST NIGHT!!! bhai,2
"speed is low, what is this?",4
delay in response pls fix since long time,4
"please check, buffering trouble not resolved yet kya masla hai",5
"please check, data loss issue again",4
"data loss issue, what is this? bhai",4
"please check, having lag issue continuously",5
wifi down again since long time kya ho raha hai,2
BUFFERING trouble SINCE MORNING!!! bhai,5
buffering problem since morning since long time bhai,5
"please check, wifi not wrkng not resolved yet",4
ping too high since morning,4
HAVING wifi GONE CONTINUOUSLY!!!,4
having net gone continuously since long time,4
"please check, wifi down, what is this? kya ho raha hai",1
having wifi down continuously since long time,2
having internet not running continuously since long time kya ho raha hai,4
no connection not resolved yet since long time kya ho raha hai,2
HAVING NET SLOW CONTINUOUSLY!!!,5
no connection since long time,2
INTERNET GONE NOT RESOLVED YET!!! kya ho raha hai,2
"WIFI DOWN, WHAT IS THIS?!!!",2
DATA LOSS ISSUE PLS FIX!!!,4
buffering problem from last night since long time yaar,5
"please check, no connection since morning kya ho raha hai",2
internet gone not resolved yet yaar,1
NET too slow NOT RESOLVED YET!!! yaar,5
packet loss happening,4
packet loss happening from last night,4
"connection gone, what is this? yaar",4
lag trouble since morning asap,5
speed is low not resolved yet bhai,4
"please check, still internet gone bhai",1
wifi down since morning since long time bhai,2
FACING CANNOT ACCESS SITES!!! yaar,4
dns not resolving not resolved yet since long time yaar,4
cannot access sites again,4
NET SLOW NOT RESOLVED YET!!! yaar,5
CANNOT ACCESS SITES!!! kya masla hai,4
packet loss happening since morning since long time,4
net very slow from last night,5
having internet gone continuously,1
"dns not resolving, what is this?",4
"please check, wifi down since morning bhai",2
WIFI DOWN FROM LAST NIGHT!!!,2
keeps dropping from last night,4
router problem pls fix,4
router problem since morning,4
unstable connection,4
PACKET LOSS HAPPENING SINCE MORNING!!! kya ho raha hai,4
buffering issue not resolved yet bhai,5
having wifi down continuously since long time,2
wifi gone not resolved yet since long time,4
"internet gone, what is this? since long time",2
cannot access sites not resolved yet yaar,4
"please check, packet loss happening yaar",4
"please check, facing internet gone",1
disconnecting again and again again since long time,4
INTERNET NOT running PLS FIX!!! yaar,4
"wifi down, what is this? yaar",1
having connection gone continuously since long time,4
wifi gone since long time kya ho raha hai,4
still no connection since long time bhai,2
STILL WIFI DOWN!!! kya masla hai,2
"please check, data loss trouble",4
having packet loss happening continuously yaar,4
STILL WIFI DOWN!!!,2
STILL wifi NOT WORKING!!!,2
"DELAY IN RESPONSE, WHAT IS THIS?!!!",4
router problem again since long time bhai,4
facing keeps dropping,4
internet not working from last night kya masla hai,1
STILL INTERNET NOT WORKING!!! yaar,2
facing disconnecting again and again since long time bhai,4
wifi VERY SLOW!!! yaar,5
"please check, still speed is low",4
DNS NOT RESOLVING PLS FIX!!! bhai,4
"no connection, what is this? since long time yaar",2
SPEED IS LOW FROM LAST NIGHT!!! yaar,4
"net gone, what is this? yaar",4
FACING BUFFERING ISSUE!!!,5
net slow since morning since long time,5
WIFI DOWN FROM LAST NIGHT!!!,2
STILL wifi GONE!!! kya ho raha hai,4
"please check, router not working since morning",2
no connection pls fix since long time,2
INTERNET VERY SLOW NOT RESOLVED YET!!! yaar,5
net lagging not resolved yet since long time kya ho raha hai,5
"no connection, what is this?",1
"please check, router not functioning from last night",4
net gone since morning yaar,4
having router problem continuously kya masla hai,4
still no connection since long time yaar,2
wifi down not resolved yet,1
still packet loss happening since long time kya masla hai,4
having wifi gone continuously since long time,4
"internet gone, what is this? since long time yaar",2
LAG ISSUE AGAIN!!! kya ho raha hai,5
"please check, buffering issue, what is this? yaar",5
"please check, still speed is low",4
having keeps dropping continuously,4
NO CONNECTION!!! kya ho raha hai,2
intrnet not working not resolved yet,1
"buffering issue, what is this? yaar",5
having wifi down continuously since long time yaar,2
BUFFERING trouble SINCE MORNING!!! kya masla hai,5
packet loss happening since morning since long time yaar,4
"please check, internet not working since morning",2
"please check, keeps dropping",4
"please check, ping too high again",4
having cannot access sites continuously kya ho raha hai,4
"please check, having internet gone continuously bhai",1
no connection pls fix bhai,1
connection GONE AGAIN!!! yaar,4
wifi down again since long time kya ho raha hai,2
"wifi down, what is this? kya ho raha hai",1
packet loss happening since morning since long time kya masla hai,4
"wifi down, what is this? since long time bhai",2
still buffering problem since long time bhai,5
STILL NET SLOW!!! kya ho raha hai,5
connection GONE AGAIN!!! bhai,4
"please check, disconnecting again and again yaar",4
unstable connection pls fix,4
lag problem again since long time,5
PING TOO HIGH NOT RESOLVED YET!!! kya masla hai,4
having internet gone continuously since long time,2
wifi down again since long time yaar,2
"please check, still connection gone kya ho raha hai",4
"ping too high, what is this? bhai",4
WIFI DOWN NOT RESOLVED YET!!!,2
"please check, unstable connection again bhai",4
NO CONNECTION AGAIN!!! bhai,2
"please check, facing connection gone bhai",4
"please check, wifi down since morning",2
net gone not resolved yet yaar,4
disconnecting again and again pls fix since long time,4
facing no connection kya ho raha hai,1
HAVING SPEED IS LOW CONTINUOUSLY!!! yaar,4
unstable connection again yaar,4
"please check, having packet loss happening continuously kya ho raha hai",4
"please check, no connection again yaar",1
internet not working again yaar,1
"BUFFERING ISSUE, WHAT IS THIS?!!! bhai",5
data loss trouble from last night since long time,4
connection gone since morning since long time,4
wifi NOT WORKING AGAIN!!! bhai,2
"please check, facing no connection",1
still internet not working bhai,1
buffering problem from last night since long time,5
"please check, facing internet not working kya masla hai",1
"packet loss happening, what is this? bhai",4
speed is low kya ho raha hai,4
BUFFERING ISSUE AGAIN!!! bhai,5
data loss trouble since morning yaar,4
NO CONNECTION FROM LAST NIGHT!!! yaar,2
"please check, disconnecting again and again again bhai",4
still intrnet very lagging,5
internet not working from last night since long time yaar,2
no connection since long time,2
"please check, still data loss trouble",4
"please check, ping too high not resolved yet kya ho raha hai",4
NO CONNECTION FROM LAST NIGHT!!!,2
still no connection,1
ping too high pls fix,4
"please check, wifi down not resolved yet bhai",1
BUFFERING problem AGAIN!!! yaar,5
router problem not resolved yet since long time kya ho raha hai,4
PACKET LOSS HAPPENING AGAIN!!! bhai,4
facing router problem since long time bhai,4
having buffering issue continuously bhai,5
"please check, facing wifi down bhai",1
having no connection continuously since long time,2
disconnecting again and again from last night yaar,4
intrnet not running again since long time kya ho raha hai,4
"please check, facing ping too high yaar",4
"please check, keeps dropping not resolved yet yaar",4
still wifi down,1
facing cannot access sites since long time kya ho raha hai,4
"wifi VERY SLOW, WHAT IS THIS?!!!",5
facing wifi gone yaar,4
"please check, internet gone since morning yaar",2
delay in response pls fix bhai,4
WIFI DOWN SINCE MORNING!!! kya ho raha hai,3
facing no connection since long time bhai,2
no connection from last night bhai,1
"wifi down, what is this? since long time bhai",2
HAVING WIFI DOWN CONTINUOUSLY!!! yaar,2
facing router problem bhai,4
having internet very slow continuously bhai,5
router problem again since long time kya masla hai,4
wifi down pls fix since long time yaar,2
KEEPS DROPPING FROM LAST NIGHT!!!,4
"please check, having no connection continuously yaar",1
lag trouble since morning yaar,5
"please check, internet not working from last night kya ho raha hai",1
"please check, connection not working not resolved yet",1
having router problem continuously kya ho raha hai,4
FACING DNS NOT RESOLVING!!! bhai,4
no connection from last night bhai,1
"please check, still no connection kya ho raha hai",1
ROUTER PROBLEM FROM LAST NIGHT!!! yaar,4
"please check, net slow from last night",5
INTERNET GONE!!! bhai,2
NO CONNECTION NOT RESOLVED YET!!! kya masla hai,2
"please check, facing no connection kya ho raha hai",1
"disconnecting again and again, what is this? yaar",4
WIFI DOWN NOT RESOLVED YET!!! kya ho raha hai,2
internet not working again since long time,2
still data loss problem since long time yaar,4
"please check, internet very slow not resolved yet bhai",5
"please check, no connection since morning bhai",2
having router not running continuously kya ho raha hai,4
router problem from last night,4
ping too high since morning kya ho raha hai,4
"please check, still no connection yaar",1
STILL NO CONNECTION!!! kya masla hai,2
"please check, delay in response bhai",4
connection gone pls fix since long time yaar,4
delay in response since morning kya ho raha hai,4
net gone since morning since long time bhai,4
"please check, data loss issue bhai",4
ping too high pls fix since long time kya ho raha hai,4
"please check, facing data loss issue",4
lag issue pls fix since long time,5
wifi down from last night since long time,2
ping too high since morning bhai,4
FACING INTERNET GONE!!! kya ho raha hai,2
"please check, unstable connection again bhai",4
no connection pls fix since long time,2
having router not running continuously since long time,4
net not working since morning,2
having no connection continuously since long time bhai,2
"please check, no connection",1
BUFFERING ISSUE!!!,5
speed is low from last night since long time yaar,4
still wifi gone since long time kya masla hai,4
net NOT WORKING!!! yaar,2
"please check, facing unstable connection kya ho raha hai",4
"please check, ping too high not resolved yet",4
FACING NO CONNECTION!!! yaar,2
"please check, wifi not working, what is this?",1
HAVING SPEED IS LOW CONTINUOUSLY!!! kya ho raha hai,4
internet gone again kya ho raha hai,1
