grievance_text,predicted_probability,severity
facing speed is low bhai,1.97E-06,Low
please check buffering issue what is this kya ho raha hai,2.01E-06,Low
no connection pls fix since long time,0.99999857,High
packet loss happening again bhai,1.92E-06,Low
connection gone what is this since long time bhai,0.99999857,High
net gone from last night since long time,0.99999857,High
connection very slow from last night since long time yaar,2.12E-06,Low
please check facing router not working bhai,2.32E-06,Low
internet not working,0.99999857,High
router not running since morning,1.93E-06,Low
buffering issue what is this bhai,1.91E-06,Low
wifi down what is this,0.99999857,High
please check still internet not working yaar,0.99999845,High
speed is low pls fix since long time kya ho raha hai,1.92E-06,Low
still router not functioning since long time kya ho raha hai,2.03E-06,Low
internet not working kya masla hai,0.99999857,High
still data loss trouble since long time bhai,1.97E-06,Low
ping too high kya ho raha hai,1.92E-06,Low
still packet loss happening,1.98E-06,Low
unstable connection what is this since long time kya ho raha hai,1.97E-06,Low
unstable connection since morning since long time,1.98E-06,Low
facing disconnecting again and again,1.95E-06,Low
keeps dropping not resolved yet yaar,1.91E-06,Low
still router not functioning since long time kya masla hai,2.03E-06,Low
unstable connection from last night bhai,1.99E-06,Low
internet not functioning not resolved yet,0.99999857,High
buffering issue what is this yaar,1.91E-06,Low
wifi down what is this kya ho raha hai,0.99999857,High
no connection what is this,0.99999857,High
keeps dropping again kya ho raha hai,1.91E-06,Low
please check disconnecting again and again not resolved yet bhai,2.01E-06,Low
unstable connection from last night yaar,2.00E-06,Low
router not running from last night kya masla hai,1.93E-06,Low
facing unstable connection,2.09E-06,Low
having disconnecting again and again continuously kya ho raha hai,1.95E-06,Low
still internet very slow yaar,2.43E-06,Low
net gone since morning,0.99999857,High
buffering trouble again since long time bhai,1.90E-06,Low
please check having net lagging continuously yaar,2.76E-06,Low
buffering issue from last night since long time yaar,1.91E-06,Low
please check facing wifi down bhai,0.99999845,High
please check having connection very slow continuously,2.42E-06,Low
internet gone pls fix bhai,0.99999857,High
having router problem continuously kya ho raha hai,1.96E-06,Low
no connection bhai,0.99999857,High
please check connection very slow yaar,2.35E-06,Low
unstable connection again since long time,1.96E-06,Low
wifi down what is this since long time kya ho raha hai,0.99999857,High
router not working again kya ho raha hai,1.96E-06,Low
speed is low from last night,1.92E-06,Low
dns not resolving since morning kya ho raha hai,1.95E-06,Low
please check still delay in response bhai,2.08E-06,Low
please check delay in response,2.01E-06,Low
disconnecting again and again what is this since long time kya ho raha hai,1.90E-06,Low
internet gone,0.99999857,High
facing data loss issue since long time yaar,1.96E-06,Low
still speed is low yaar,1.98E-06,Low
please check data loss trouble yaar,2.00E-06,Low
net slow,2.08E-06,Low
wifi down again,0.99999857,High
keeps dropping since morning,1.92E-06,Low
please check router problem again,1.99E-06,Low
please check internet not working again kya ho raha hai,0.99999845,High
having keeps dropping continuously,1.97E-06,Low
router problem bhai,1.92E-06,Low
speed is low again since long time,1.92E-06,Low
still keeps dropping yaar,1.98E-06,Low
internet very slow since morning,2.34E-06,Low
buffering issue from last night since long time,1.91E-06,Low
router problem what is this since long time kya ho raha hai,1.91E-06,Low
still data loss issue yaar,1.98E-06,Low
please check speed is low pls fix yaar,2.02E-06,Low
please check buffering issue not resolved yet bhai,2.02E-06,Low
disconnecting again and again pls fix,1.90E-06,Low
cannot access sites since morning yaar,1.91E-06,Low
please check data loss issue again yaar,1.99E-06,Low
please check wifi not working pls fix yaar,0.99999845,High
router problem not resolved yet since long time kya ho raha hai,1.91E-06,Low
still disconnecting again and again,1.96E-06,Low
facing no connection kya ho raha hai,0.99999857,High
net gone since morning bhai,0.99999857,High
unstable connection since morning,2.00E-06,Low
please check wifi down since morning bhai,0.99999845,High
disconnecting again and again since morning yaar,1.90E-06,Low
still no connection yaar,0.99999857,High
still speed is low,1.98E-06,Low
please check still wifi not working bhai,0.99999845,High
delay in response pls fix bhai,1.92E-06,Low
having unstable connection continuously yaar,2.06E-06,Low
no connection from last night bhai,0.99999857,High
please check speed is low from last night,2.02E-06,Low
unstable connection what is this since long time kya masla hai,1.97E-06,Low
buffering trouble since morning,1.92E-06,Low
please check no connection again bhai,0.99999845,High
buffering problem pls fix,1.92E-06,Low
still wifi not working bhai,0.99999857,High
please check facing net gone,0.99999845,High
ping too high what is this since long time bhai,1.92E-06,Low
please check keeps dropping what is this yaar,2.01E-06,Low
buffering problem since morning bhai,1.91E-06,Low
net very slow not resolved yet,2.01E-06,Low
router not running pls fix since long time,1.93E-06,Low
still wifi down yaar,0.99999857,High
please check keeps dropping not resolved yet yaar,2.02E-06,Low
please check facing packet loss happening yaar,2.06E-06,Low
please check keeps dropping,2.02E-06,Low
buffering issue since long time kya ho raha hai,1.91E-06,Low
please check still lag trouble kya ho raha hai,2.10E-06,Low
no connection from last night since long time bhai,0.99999857,High
having packet loss happening continuously since long time kya ho raha hai,1.97E-06,Low
facing speed is low since long time,1.96E-06,Low
please check router problem,2.00E-06,Low
wifi down again since long time kya ho raha hai,0.99999857,High
disconnecting again and again pls fix,1.90E-06,Low
router problem not resolved yet yaar,1.91E-06,Low
having speed is low continuously bhai,1.96E-06,Low
internet very very slow pls fix,2.21E-06,Low
keeps dropping from last night kya ho raha hai,1.91E-06,Low
having speed is low continuously,1.97E-06,Low
please check wifi down yaar,0.99999845,High
wifi down pls fix,0.99999857,High
router problem from last night yaar,1.90E-06,Low
unstable connection again,1.99E-06,Low
please check facing intrnet gone kya ho raha hai,0.99999845,High
unstable connection not resolved yet kya ho raha hai,2.03E-06,Low
please check router problem from last night,2.00E-06,Low
buffering issue what is this,1.91E-06,Low
router problem since morning,1.91E-06,Low
buffering issue from last night yaar,1.91E-06,Low
disconnecting again and again again bhai,1.90E-06,Low
having disconnecting again and again continuously,1.95E-06,Low
keeps dropping,1.94E-06,Low
unstable connection since morning kya ho raha hai,2.01E-06,Low
facing speed is low,1.97E-06,Low
buffering trouble bhai,1.93E-06,Low
having disconnecting again and again continuously yaar,1.95E-06,Low
facing delay in response since long time yaar,1.95E-06,Low
please check wifi very slow since morning bhai,3.61E-06,Low
connection not working again bhai,0.99999857,High
please check facing packet loss happening kya masla hai,2.06E-06,Low
facing keeps dropping kya ho raha hai,1.96E-06,Low
please check net slow,2.25E-06,Low
please check router problem pls fix yaar,2.00E-06,Low
cannot access sites kya masla hai,1.91E-06,Low
please check router problem pls fix,2.00E-06,Low
still buffering issue,1.99E-06,Low
internet not functioning since morning kya ho raha hai,0.99999857,High
please check no connection since morning bhai,0.99999845,High
please check lag trouble since morning,2.01E-06,Low
disconnecting again and again yaar,1.90E-06,Low
speed is low from last night bhai,1.92E-06,Low
please check keeps dropping pls fix,2.02E-06,Low
internet not running since long time,0.99999857,High
having buffering trouble continuously,1.97E-06,Low
please check internet not wrkng pls fix bhai,0.99999845,High
please check internet gone from last night kya ho raha hai,0.99999845,High
still intrnet gone kya ho raha hai,0.99999845,High
connection gone again bhai,0.99999857,High
unstable connection pls fix bhai,2.05E-06,Low
facing wifi very slow kya ho raha hai,3.32E-06,Low
facing net not working since long time bhai,0.99999845,High
router not working from last night since long time bhai,1.96E-06,Low
please check facing unstable connection kya ho raha hai,2.50E-06,Low
having net gone continuously since long time bhai,0.99999845,High
speed is low pls fix kya ho raha hai,1.92E-06,Low
data loss problem not resolved yet since long time yaar,1.93E-06,Low
lag problem from last night since long time kya ho raha hai,1.90E-06,Low
keeps dropping from last night bhai,1.91E-06,Low
please check lag issue kya ho raha hai,2.01E-06,Low
please check having buffering problem continuously,2.07E-06,Low
having internet not working continuously since long time bhai,0.99999845,High
disconnecting again and again not resolved yet kya ho raha hai,1.91E-06,Low
facing delay in response,1.97E-06,Low
net very slow since morning,2.01E-06,Low
internet not running pls fix kya ho raha hai,0.99999857,High
facing packet loss happening since long time yaar,1.96E-06,Low
net lagging from last night yaar,2.44E-06,Low
facing keeps dropping since long time,1.95E-06,Low
please check speed is low bhai,2.02E-06,Low
please check net slow what is this,2.21E-06,Low
still disconnecting again and again kya ho raha hai,1.96E-06,Low
ping too high not resolved yet kya ho raha hai,1.92E-06,Low
still delay in response since long time bhai,1.97E-06,Low
ping too high again,1.92E-06,Low
please check unstable connection yaar,2.31E-06,Low
speed is low from last night yaar,1.92E-06,Low
facing speed is low,1.97E-06,Low
still no connection kya masla hai,0.99999857,High
facing cannot access sites since long time kya masla hai,1.96E-06,Low
please check router problem pls fix yaar,2.00E-06,Low
having net slow continuously yaar,2.08E-06,Low
internet very slow from last night bhai,2.34E-06,Low
router problem not resolved yet kya ho raha hai,1.91E-06,Low
delay in response from last night,1.92E-06,Low
connection gone what is this bhai,0.99999857,High
facing router problem bhai,1.96E-06,Low
keeps dropping again since long time,1.90E-06,Low
please check having internet very very slow continuously,2.51E-06,Low
having wifi down continuously since long time bhai,0.99999857,High
router not functioning since morning bhai,1.94E-06,Low
wifi down not resolved yet since long time,0.99999857,High
please check having no connection continuously kya ho raha hai,0.99999845,High
router problem since long time kya masla hai,1.90E-06,Low
having net gone continuously,0.99999845,High
still disconnecting again and again bhai,1.96E-06,Low
speed is low not resolved yet kya ho raha hai,1.93E-06,Low
having connection not working continuously yaar,0.99999845,High
wifi down from last night,0.99999857,High
having lag issue continuously kya ho raha hai,1.96E-06,Low
facing cannot access sites since long time kya ho raha hai,1.96E-06,Low
disconnecting again and again bhai,1.90E-06,Low
please check unstable connection pls fix,2.38E-06,Low
still router not running kya ho raha hai,2.02E-06,Low
wifi down not resolved yet,0.99999857,High
data loss problem again,1.93E-06,Low
internet not working since long time bhai,0.99999857,High
cannot access sites again since long time kya masla hai,1.91E-06,Low
please check facing unstable connection,2.38E-06,Low
internet very slow,2.35E-06,Low
please check wifi down pls fix yaar,0.99999845,High
facing data loss issue yaar,1.97E-06,Low
still keeps dropping bhai,1.98E-06,Low
dns not resolving not resolved yet yaar,1.95E-06,Low
wifi very slow not resolved yet yaar,3.19E-06,Low
packet loss happening pls fix since long time,1.91E-06,Low
speed is low yaar,1.93E-06,Low
please check net slow since morning bhai,2.24E-06,Low
facing disconnecting again and again yaar,1.95E-06,Low
please check facing keeps dropping kya ho raha hai,2.10E-06,Low
wifi very slow since morning bhai,2.96E-06,Low
having keeps dropping continuously since long time kya ho raha hai,1.96E-06,Low
please check no connection since morning yaar,0.99999845,High
facing net very slow kya ho raha hai,2.02E-06,Low
intrnet very very slow from last night,2.04E-06,Low
buffering issue pls fix since long time yaar,1.90E-06,Low
data loss issue what is this since long time,1.93E-06,Low
connection very slow not resolved yet since long time,2.13E-06,Low
please check wifi down since morning kya ho raha hai,0.99999845,High
disconnecting again and again pls fix yaar,1.90E-06,Low
speed is low not resolved yet yaar,1.92E-06,Low
connection not working what is this,0.99999857,High
still no connection yaar,0.99999857,High
disconnecting again and again since morning,1.90E-06,Low
still speed is low kya masla hai,1.98E-06,Low
please check router problem again,1.99E-06,Low
please check packet loss happening not resolved yet,2.00E-06,Low
data loss issue pls fix since long time bhai,1.93E-06,Low
please check net too slow not resolved yet bhai,2.14E-06,Low
keeps dropping pls fix bhai,1.91E-06,Low
speed is low again since long time yaar,1.91E-06,Low
keeps dropping what is this since long time bhai,1.91E-06,Low
keeps dropping not resolved yet,1.92E-06,Low
disconnecting again and again since long time kya ho raha hai,1.90E-06,Low
please check no connection pls fix kya masla hai,0.99999845,High
please check having router problem continuously yaar,2.05E-06,Low
wifi gone from last night yaar,0.99999857,High
no connection from last night yaar,0.99999857,High
wifi down from last night yaar,0.99999857,High
speed is low what is this since long time bhai,1.92E-06,Low
please check having buffering problem continuously,2.07E-06,Low
please check facing buffering issue kya ho raha hai,2.09E-06,Low
dns not resolving pls fix since long time yaar,1.94E-06,Low
still data loss problem kya ho raha hai,1.98E-06,Low
buffering issue,1.94E-06,Low
facing keeps dropping since long time bhai,1.95E-06,Low
net not working not resolved yet bhai,0.99999845,High
facing disconnecting again and again,1.95E-06,Low
wifi down since long time,0.99999857,High
keeps dropping since morning since long time bhai,1.91E-06,Low
please check ping too high bhai,2.00E-06,Low
having disconnecting again and again continuously yaar,1.95E-06,Low
lag trouble not resolved yet bhai,1.91E-06,Low
speed is low from last night since long time bhai,1.92E-06,Low
disconnecting again and again since long time,1.90E-06,Low
intrnet not working since long time,0.99999857,High
no connection from last night,0.99999857,High
please check keeps dropping what is this,2.01E-06,Low
facing net not working bhai,0.99999845,High
please check internet not working pls fix yaar,0.99999845,High
ping too high from last night since long time,1.92E-06,Low
ping too high again,1.92E-06,Low
having unstable connection continuously kya masla hai,2.06E-06,Low
please check having wifi down continuously yaar,0.99999845,High
internet gone pls fix kya ho raha hai,0.99999857,High
please check facing net lagging kya ho raha hai,3.26E-06,Low
please check speed is low not resolved yet yaar,2.03E-06,Low
ping too high since morning,1.92E-06,Low
please check buffering issue again bhai,2.00E-06,Low
internet gone pls fix since long time bhai,0.99999857,High
keeps dropping what is this,1.91E-06,Low
net too slow since morning since long time kya ho raha hai,2.01E-06,Low
still disconnecting again and again bhai,1.96E-06,Low
please check router not working from last night,2.22E-06,Low
please check still ping too high,2.06E-06,Low
please check connection not working what is this yaar,0.99999845,High
speed is low since morning since long time kya ho raha hai,1.92E-06,Low
please check keeps dropping again yaar,2.01E-06,Low
please check lag problem again,2.00E-06,Low
packet loss happening pls fix kya ho raha hai,1.91E-06,Low
no connection again since long time bhai,0.99999857,High
please check still lag issue bhai,2.07E-06,Low
delay in response pls fix since long time kya ho raha hai,1.92E-06,Low
please check no connection yaar,0.99999845,High
facing disconnecting again and again bhai,1.95E-06,Low
please check having dns not resolving continuously bhai,2.18E-06,Low
please check having router problem continuously bhai,2.05E-06,Low
internet gone again bhai,0.99999857,High
still buffering problem,1.99E-06,Low
router problem again yaar,1.91E-06,Low
please check still cannot access sites,2.09E-06,Low
disconnecting again and again bhai,1.90E-06,Low
please check unstable connection since morning,2.27E-06,Low
buffering issue from last night since long time bhai,1.91E-06,Low
net too slow since morning,2.01E-06,Low
still delay in response,1.98E-06,Low
still buffering issue kya masla hai,1.98E-06,Low
having router problem continuously since long time,1.96E-06,Low
packet loss happening from last night yaar,1.91E-06,Low
please check buffering trouble not resolved yet bhai,2.02E-06,Low
keeps dropping since morning kya masla hai,1.91E-06,Low
net lagging from last night kya ho raha hai,2.49E-06,Low
packet loss happening from last night since long time kya ho raha hai,1.92E-06,Low
still no connection since long time,0.99999857,High
facing speed is low since long time kya ho raha hai,1.96E-06,Low
disconnecting again and again from last night bhai,1.90E-06,Low
having ping too high continuously yaar,1.96E-06,Low
net lagging again,2.28E-06,Low
connection gone from last night,0.99999857,High
internet gone since morning bhai,0.99999857,High
connection not working not resolved yet since long time,0.99999857,High
having disconnecting again and again continuously since long time,1.95E-06,Low
please check disconnecting again and again not resolved yet,2.01E-06,Low
net gone since morning bhai,0.99999857,High
buffering issue again,1.92E-06,Low
unstable connection since long time,1.98E-06,Low
please check disconnecting again and again not resolved yet yaar,2.01E-06,Low
facing internet not working yaar,0.99999857,High
please check buffering problem since morning kya ho raha hai,2.01E-06,Low
lag trouble again yaar,1.91E-06,Low
router problem from last night yaar,1.90E-06,Low
please check unstable connection pls fix bhai,2.37E-06,Low
facing packet loss happening since long time kya ho raha hai,1.96E-06,Low
router problem again since long time bhai,1.90E-06,Low
router problem pls fix bhai,1.91E-06,Low
speed is low pls fix kya ho raha hai,1.92E-06,Low
please check having net too slow continuously yaar,2.23E-06,Low
speed is low pls fix yaar,1.92E-06,Low
having internet very slow continuously yaar,2.30E-06,Low
please check disconnecting again and again from last night yaar,2.01E-06,Low
having internet very lagging continuously since long time,2.61E-06,Low
unstable connection what is this kya ho raha hai,1.98E-06,Low
please check disconnecting again and again since morning kya ho raha hai,2.01E-06,Low
router problem again,1.92E-06,Low
internet not working again,0.99999857,High
unstable connection since morning,2.00E-06,Low
net very slow kya ho raha hai,2.01E-06,Low
please check router problem not resolved yet bhai,2.00E-06,Low
keeps dropping what is this since long time bhai,1.91E-06,Low
packet loss happening since morning kya ho raha hai,1.91E-06,Low
connection gone what is this,0.99999857,High
still net gone since long time kya ho raha hai,0.99999845,High
please check buffering trouble yaar,2.02E-06,Low
having packet loss happening continuously since long time,1.96E-06,Low
facing unstable connection kya ho raha hai,2.14E-06,Low
please check wifi very slow what is this bhai,3.37E-06,Low
please check disconnecting again and again,2.01E-06,Low
data loss issue again bhai,1.93E-06,Low
disconnecting again and again not resolved yet,1.90E-06,Low
please check buffering trouble kya masla hai,2.02E-06,Low
please check still net very slow kya ho raha hai,2.24E-06,Low
router not functioning since morning since long time bhai,1.94E-06,Low
please check data loss trouble pls fix yaar,2.00E-06,Low
please check lag issue not resolved yet bhai,2.01E-06,Low
router not working since morning kya ho raha hai,1.97E-06,Low
unstable connection from last night bhai,1.99E-06,Low
packet loss happening not resolved yet since long time yaar,1.92E-06,Low
internet gone from last night since long time kya ho raha hai,0.99999857,High
please check facing wifi down,0.99999845,High
dns not resolving pls fix bhai,1.95E-06,Low
data loss problem from last night,1.93E-06,Low
net very slow since morning,2.01E-06,Low
net slow yaar,2.08E-06,Low
net lagging yaar,2.51E-06,Low
please check disconnecting again and again,2.01E-06,Low
still speed is low,1.98E-06,Low
unstable connection what is this since long time bhai,1.97E-06,Low
please check having buffering issue continuously yaar,2.07E-06,Low
disconnecting again and again bhai,1.90E-06,Low
delay in response what is this since long time bhai,1.92E-06,Low
keeps dropping pls fix kya ho raha hai,1.91E-06,Low
unstable connection,2.02E-06,Low
speed is low what is this since long time kya ho raha hai,1.93E-06,Low
please check facing unstable connection bhai,2.37E-06,Low
please check dns not resolving from last night bhai,2.09E-06,Low
wifi very slow from last night kya ho raha hai,3.10E-06,Low
still net slow since long time bhai,2.09E-06,Low
connection very slow again bhai,2.11E-06,Low
buffering issue,1.94E-06,Low
router problem pls fix since long time kya ho raha hai,1.90E-06,Low
please check still keeps dropping kya ho raha hai,2.10E-06,Low
router problem what is this yaar,1.91E-06,Low
buffering problem not resolved yet since long time yaar,1.91E-06,Low
router not working since morning,1.97E-06,Low
internet not working again yaar,0.99999857,High
please check internet gone yaar,0.99999845,High
please check intrnet not working pls fix kya masla hai,0.99999845,High
wifi down again,0.99999857,High
speed is low from last night,1.92E-06,Low
internet very lagging since morning bhai,2.93E-06,Low
dns not resolving from last night since long time,1.94E-06,Low
net very slow from last night since long time,2.00E-06,Low
still unstable connection kya masla hai,2.13E-06,Low
net slow bhai,2.06E-06,Low
please check intrnet very slow from last night bhai,2.18E-06,Low
please check dns not resolving what is this bhai,2.08E-06,Low
keeps dropping what is this since long time,1.91E-06,Low
still delay in response kya ho raha hai,1.97E-06,Low
please check net very slow what is this yaar,2.10E-06,Low
facing net gone since long time,0.99999845,High
delay in response not resolved yet,1.92E-06,Low
ping too high what is this,1.92E-06,Low
wifi down again yaar,0.99999857,High
having unstable connection continuously since long time bhai,2.04E-06,Low
cannot access sites since long time kya ho raha hai,1.91E-06,Low
still speed is low since long time,1.97E-06,Low
please check packet loss happening pls fix,2.00E-06,Low
having router problem continuously since long time bhai,1.96E-06,Low
keeps dropping yaar,1.93E-06,Low
please check having net slow continuously bhai,2.32E-06,Low
please check unstable connection not resolved yet bhai,2.31E-06,Low
unstable connection,2.02E-06,Low
connection gone from last night yaar,0.99999857,High
having buffering issue continuously since long time,1.96E-06,Low
net slow pls fix bhai,2.08E-06,Low
internet gone what is this,0.99999857,High
intrnet gone since long time kya ho raha hai,0.99999857,High
keeps dropping from last night,1.91E-06,Low
please check having no connection continuously bhai,0.99999845,High
facing disconnecting again and again since long time bhai,1.95E-06,Low
keeps dropping what is this since long time kya ho raha hai,1.91E-06,Low
please check wifi very slow pls fix yaar,4.84E-06,Low
net gone since morning kya ho raha hai,0.99999857,High
delay in response again,1.92E-06,Low
no connection not resolved yet since long time,0.99999857,High
please check having no connection continuously,0.99999845,High
facing unstable connection bhai,2.07E-06,Low
packet loss happening kya ho raha hai,1.91E-06,Low
buffering issue since morning,1.92E-06,Low
still unstable connection since long time bhai,2.08E-06,Low
please check speed is low pls fix yaar,2.02E-06,Low
please check having disconnecting again and again continuously kya ho raha hai,2.08E-06,Low
data loss issue from last night,1.93E-06,Low
wifi down not resolved yet bhai,0.99999857,High
facing packet loss happening kya ho raha hai,1.96E-06,Low
having speed is low continuously since long time bhai,1.96E-06,Low
please check speed is low pls fix yaar,2.02E-06,Low
please check facing speed is low bhai,2.10E-06,Low
no connection since long time kya masla hai,0.99999857,High
wifi down what is this kya ho raha hai,0.99999857,High
net slow again since long time,2.02E-06,Low
keeps dropping not resolved yet bhai,1.92E-06,Low
keeps dropping,1.94E-06,Low
keeps dropping from last night yaar,1.91E-06,Low
wifi very slow what is this yaar,2.85E-06,Low
dns not resolving pls fix,1.95E-06,Low
please check still unstable connection,2.40E-06,Low
please check still wifi not working,0.99999845,High
keeps dropping what is this,1.91E-06,Low
still ping too high since long time bhai,1.96E-06,Low
please check facing wifi gone yaar,0.99999845,High
still wifi very slow yaar,3.17E-06,Low
having net slow continuously since long time kya masla hai,2.06E-06,Low
no connection what is this yaar,0.99999857,High
no connection not resolved yet since long time,0.99999857,High
facing wifi down kya ho raha hai,0.99999857,High
router not working not resolved yet,1.98E-06,Low
please check keeps dropping from last night,2.01E-06,Low
lag trouble from last night since long time bhai,1.90E-06,Low
please check connection gone not resolved yet bhai,0.99999845,High
packet loss happening from last night,1.92E-06,Low
please check wifi gone again,0.99999845,High
please check dns not resolving what is this bhai,2.08E-06,Low
having wifi down continuously bhai,0.99999857,High
please check still speed is low kya ho raha hai,2.11E-06,Low
net too slow from last night kya ho raha hai,2.01E-06,Low
please check having keeps dropping continuously bhai,2.08E-06,Low
wifi very slow bhai,2.91E-06,Low
still lag issue bhai,1.98E-06,Low
internet very slow what is this bhai,2.30E-06,Low
please check no connection pls fix,0.99999845,High
please check still keeps dropping yaar,2.10E-06,Low
please check having internet gone continuously kya masla hai,0.99999845,High
router problem again,1.92E-06,Low
net too slow again kya ho raha hai,2.01E-06,Low
buffering issue again kya masla hai,1.91E-06,Low
please check still speed is low kya ho raha hai,2.11E-06,Low
internet very slow what is this bhai,2.30E-06,Low
internet very very slow yaar,2.20E-06,Low
please check buffering issue what is this,2.00E-06,Low
keeps dropping from last night since long time bhai,1.91E-06,Low
internet very too slow since morning since long time kya ho raha hai,2.22E-06,Low
still router problem yaar,1.97E-06,Low
please check facing cannot access sites kya ho raha hai,2.09E-06,Low
keeps dropping pls fix since long time bhai,1.91E-06,Low
having keeps dropping continuously kya ho raha hai,1.96E-06,Low
please check delay in response pls fix yaar,2.01E-06,Low
keeps dropping not resolved yet bhai,1.92E-06,Low
facing unstable connection bhai,2.07E-06,Low
facing wifi down kya ho raha hai,0.99999857,High
speed is low what is this kya masla hai,1.92E-06,Low
please check net slow pls fix yaar,2.36E-06,Low
router not functioning pls fix since long time bhai,1.95E-06,Low
still no connection,0.99999857,High
packet loss happening from last night since long time kya ho raha hai,1.92E-06,Low
data loss problem again yaar,1.93E-06,Low
router not working from last night since long time,1.96E-06,Low
please check packet loss happening what is this,1.99E-06,Low
please check dns not resolving from last night,2.09E-06,Low
please check unstable connection pls fix,2.38E-06,Low
wifi down what is this bhai,0.99999857,High
net too slow not resolved yet since long time,2.02E-06,Low
still disconnecting again and again,1.96E-06,Low
please check still ping too high yaar,2.07E-06,Low
please check still buffering problem asap,2.09E-06,Low
having keeps dropping continuously kya ho raha hai,1.96E-06,Low
please check speed is low from last night yaar,2.02E-06,Low
please check wifi down since morning kya masla hai,0.99999845,High
data loss problem from last night yaar,1.93E-06,Low
please check facing unstable connection yaar,2.44E-06,Low
cannot access sites pls fix kya ho raha hai,1.91E-06,Low
internet very lagging since long time,2.86E-06,Low
still no connection bhai,0.99999857,High
please check connection not working not resolved yet,0.99999845,High
lag problem from last night since long time kya masla hai,1.90E-06,Low
keeps dropping from last night bhai,1.91E-06,Low
facing no connection yaar,0.99999857,High
packet loss happening from last night,1.92E-06,Low
please check having speed is low continuously bhai,2.09E-06,Low
still buffering issue kya ho raha hai,1.97E-06,Low
buffering issue from last night kya ho raha hai,1.91E-06,Low
please check router not functioning yaar,2.17E-06,Low
please check speed is low bhai,2.02E-06,Low
having wifi down continuously,0.99999857,High
please check net slow not resolved yet kya ho raha hai,2.30E-06,Low
still connection very slow,2.16E-06,Low
please check facing net slow yaar,2.43E-06,Low
still unstable connection since long time bhai,2.08E-06,Low
having connection not working continuously yaar,0.99999845,High
facing packet loss happening kya ho raha hai,1.96E-06,Low
disconnecting again and again pls fix,1.90E-06,Low
delay in response what is this since long time,1.92E-06,Low
please check unstable connection kya ho raha hai,2.39E-06,Low
router problem again yaar,1.91E-06,Low
facing unstable connection bhai,2.07E-06,Low
speed is low pls fix bhai,1.92E-06,Low
please check having net very slow continuously yaar,2.20E-06,Low
still internet very slow bhai,2.37E-06,Low
speed is low pls fix,1.92E-06,Low
please check lag trouble yaar,2.02E-06,Low
ping too high from last night yaar,1.92E-06,Low
please check lag problem pls fix bhai,2.00E-06,Low
wifi down not resolved yet bhai,0.99999857,High
speed is low from last night since long time yaar,1.92E-06,Low
having data loss issue continuously kya ho raha hai,1.97E-06,Low
having keeps dropping continuously since long time bhai,1.96E-06,Low
facing data loss issue bhai,1.97E-06,Low
still dns not resolving,2.02E-06,Low
ping too high pls fix yaar,1.91E-06,Low
speed is low from last night yaar,1.92E-06,Low
buffering problem pls fix since long time,1.90E-06,Low
delay in response pls fix since long time kya ho raha hai,1.92E-06,Low
buffering trouble again since long time bhai,1.90E-06,Low
facing ping too high yaar,1.96E-06,Low
unstable connection since morning bhai,1.99E-06,Low
net slow not resolved yet yaar,2.07E-06,Low
packet loss happening from last night,1.92E-06,Low
router problem again since long time kya ho raha hai,1.90E-06,Low
data loss issue kya ho raha hai,1.93E-06,Low
buffering problem not resolved yet since long time kya ho raha hai,1.91E-06,Low
please check facing internet very slow yaar,2.89E-06,Low
wifi down pls fix yaar,0.99999857,High
please check facing router not functioning bhai,2.26E-06,Low
delay in response,1.93E-06,Low
please check wifi down again bhai,0.99999845,High
please check connection gone since morning,0.99999845,High
dns not resolving again,1.95E-06,Low
please check wifi down again yaar,0.99999845,High
data loss issue pls fix kya ho raha hai,1.93E-06,Low
facing buffering issue kya ho raha hai,1.96E-06,Low
keeps dropping not resolved yet yaar,1.91E-06,Low
facing router problem since long time,1.95E-06,Low
please check no connection pls fix yaar,0.99999845,High
no connection since morning yaar,0.99999857,High
unstable connection from last night kya ho raha hai,2.01E-06,Low
wifi down kya ho raha hai,0.99999857,High
buffering problem pls fix bhai,1.91E-06,Low
having wifi down continuously,0.99999857,High
speed is low bhai,1.93E-06,Low
packet loss happening what is this since long time,1.92E-06,Low
please check keeps dropping since morning,2.01E-06,Low
router problem from last night bhai,1.91E-06,Low
still no connection since long time kya ho raha hai,0.99999857,High
please check speed is low from last night kya ho raha hai,2.03E-06,Low
please check wifi down not resolved yet,0.99999845,High
net slow what is this,2.04E-06,Low
please check facing internet very very slow bhai,2.56E-06,Low
disconnecting again and again what is this since long time kya ho raha hai,1.90E-06,Low
please check cannot access sites since morning bhai,2.01E-06,Low
router problem pls fix kya ho raha hai,1.90E-06,Low
please check facing wifi down,0.99999845,High
no connection not resolved yet kya ho raha hai,0.99999857,High
lag problem,1.93E-06,Low
facing packet loss happening since long time bhai,1.96E-06,Low
net not working pls fix bhai,0.99999845,High
internet gone what is this since long time,0.99999857,High
buffering trouble from last night,1.91E-06,Low
router not working since long time kya masla hai,1.96E-06,Low
cannot access sites from last night,1.91E-06,Low
unstable connection again since long time bhai,1.96E-06,Low
cannot access sites not resolved yet,1.92E-06,Low
speed is low since morning yaar,1.92E-06,Low
wifi down since morning since long time bhai,0.99999857,High
please check still speed is low kya ho raha hai,2.11E-06,Low
please check disconnecting again and again bhai,2.01E-06,Low
net slow since morning bhai,2.05E-06,Low
please check cannot access sites from last night bhai,2.01E-06,Low
please check connection not working what is this bhai,0.99999845,High
